yob1,W_HO_PTA_f_SB,UW_HO_PTA_f_SB,T_W_HO_PTA_f_SB,T_UW_HO_PTA_f_SB,HO_ptaf_RegCow_1,W_HO_SD_f_SB,W_BY1_HO_SD_f_SB,UW_HO_SD_f_SB,UW_BY1_HO_SD_f_SB,T_W_HO_SD_f_SB,T_UW_HO_SD_f_SB,W_BY1_HO_PTA_f_SB,HO_ptaf_RegCow_4,W_HO_REL_f_SB,UW_HO_REL_f_SB,T_W_HO_REL_f_SB,T_UW_HO_REL_f_SB,W_BY1_HO_REL_f_SB,W_HO_NUM_PTA_SB,UW_HO_NUM_PTA_SB,T_W_HO_NUM_PTA_SB,T_UW_HO_NUM_PTA_SB,W_BY1_HO_NUM_PTA_SB,yob2,W_HO_PTA_f_SC,UW_HO_PTA_f_SC,T_W_HO_PTA_f_SC,T_UW_HO_PTA_f_SC,HO_ptaf_RegCow_2,W_HO_SD_f_SC,W_BY1_HO_SD_f_SC,UW_HO_SD_f_SC,UW_BY1_HO_SD_f_SC,T_W_HO_SD_f_SC,T_UW_HO_SD_f_SC,W_BY1_HO_PTA_f_SC,HO_ptaf_RegCow_5,W_HO_REL_f_SC,UW_HO_REL_f_SC,T_W_HO_REL_f_SC,T_UW_HO_REL_f_SC,W_BY1_HO_REL_f_SC,W_HO_NUM_PTA_SC,UW_HO_NUM_PTA_SC,T_W_HO_NUM_PTA_SC,T_UW_HO_NUM_PTA_SC,W_BY1_HO_NUM_PTA_SC,yob3,W_HO_PTA_f_DB,UW_HO_PTA_f_DB,T_W_HO_PTA_f_DB,T_UW_HO_PTA_f_DB,HO_ptaf_RegCow_3,W_HO_SD_f_DB,W_BY1_HO_SD_f_DB,UW_HO_SD_f_DB,UW_BY1_HO_SD_f_DB,T_W_HO_SD_f_DB,T_UW_HO_SD_f_DB,W_BY1_HO_PTA_f_DB,HO_ptaf_RegCow_6,W_HO_REL_f_DB,UW_HO_REL_f_DB,T_W_HO_REL_f_DB,T_UW_HO_REL_f_DB,W_BY1_HO_REL_f_DB,W_HO_NUM_PTA_DB,UW_HO_NUM_PTA_DB,T_W_HO_NUM_PTA_DB,T_UW_HO_NUM_PTA_DB,W_BY1_HO_NUM_PTA_DB,yob4,W_HO_PTA_f_DC,UW_HO_PTA_f_DC,T_W_HO_PTA_f_DC,T_UW_HO_PTA_f_DC,HO_ptaf_AllCow_1,W_HO_SD_f_DC,W_BY1_HO_SD_f_DC,UW_HO_SD_f_DC,UW_BY1_HO_SD_f_DC,T_W_HO_SD_f_DC,T_UW_HO_SD_f_DC,W_BY1_HO_PTA_f_DC,HO_ptaf_AllCow_2,W_HO_REL_f_DC,UW_HO_REL_f_DC,T_W_HO_REL_f_DC,T_UW_HO_REL_f_DC,W_BY1_HO_REL_f_DC,W_HO_NUM_PTA_DC,UW_HO_NUM_PTA_DC,T_W_HO_NUM_PTA_DC,T_UW_HO_NUM_PTA_DC,W_BY1_HO_NUM_PTA_DC,yob5,W_BY1_HO_SD_f_SB_1,W_BY1_HO_SD_f_SC_1,W_BY1_HO_SD_f_DB_1,W_BY1_HO_SD_f_DC_1,W_HO_SD_f_SB_1,W_HO_SD_f_SC_1,W_HO_SD_f_DB_1,W_HO_SD_f_DC_1,UW_BY1_HO_SD_f_SB_1,UW_BY1_HO_SD_f_SC_1,UW_BY1_HO_SD_f_DB_1,UW_BY1_HO_SD_f_DC_1,UW_HO_SD_f_SB_1,UW_HO_SD_f_SC_1,UW_HO_SD_f_DB_1,UW_HO_SD_f_DC_1,T_W_HO_SD_f_SB_1,T_W_HO_SD_f_SC_1,T_W_HO_SD_f_DB_1,T_W_HO_SD_f_DC_1,yob6,GenInt_SB,GenInt_SC,GenInt_DB,GenInt_DC,nGI_SB,nGI_SC,nGI_DB,nGI_DC,yob7,UW_BY1_HO_PTA_f_SB,HO_ptaf_RegCow_7,HO_numf_RegCow,HO_ptaf_AllCow_3,HO_numf_AllCow
1987,-23.00102573,-32.0231362,-22.99868795,-32.0231362,-46.76765574,23.76663002,37.20130034,14.74451955,11.89187751,23.7689678,14.74451955,-31.70884157,-46.76765574,0.971814413,0.897646792,0.971808993,0.897646792,0.981808598,3356,187,3355,187,4959,1987,-27.39231854,-41.59523656,-27.38047019,-41.58980041,-46.76765574,19.37533721,22.04972501,5.172419184,2.03295066,19.38718556,5.177855339,-44.45454451,-46.76765574,0.954728887,0.789902079,0.954725504,0.789953469,0.958903987,618323,3890,617551,3888,702162,1987,-39.89028187,-45.46117465,-39.89028187,-45.46117465,-46.76765574,6.877373874,7.365298613,1.306481099,1.674910815,6.877373874,1.306481099,-55.12711407,-46.76765574,41.62530459,34.82746011,41.62530459,34.82746011,45.92596349,5335,3008,5335,3008,5916,1987,-54.74851586,-55.85397623,-54.74854825,-55.85380496,-56.98619629,2.237680436,2.612059265,1.132220068,1.337833969,2.237648052,1.132391331,-65.88386325,-56.98619629,45.37531929,42.88450512,45.3751208,42.88488789,45.163068,649876,401126,649844,401122,646258,1987,37.20130034,22.04972501,7.365298613,2.612059265,23.76663002,19.37533721,6.877373874,2.237680436,11.89187751,2.03295066,1.674910815,1.337833969,14.74451955,5.172419184,1.306481099,1.132220068,23.7689678,19.38718556,6.877373874,2.237648052,1987,8.32614544,7.236895337,5.465756734,4.258383161,4959,702162,5916,646258,1987,-52.19394921,-46.76765574,13196,-56.98619629,821720
1988,-17.39207801,-26.18336756,-17.38824387,-26.18336756,-41.74625087,24.35417287,39.79514409,15.56288331,11.88281057,24.358007,15.56288331,-26.42709811,-41.74625087,0.966958435,0.882755318,0.967016427,0.882755318,0.979574892,5639,225,5638,225,5837,1988,-21.57191573,-36.8443899,-21.57219984,-36.8443899,-41.74625087,20.17433514,25.58779483,4.901860972,3.101014362,20.17405104,4.901860972,-38.65006247,-41.74625087,0.949483656,0.795278293,0.949477359,0.795278293,0.961130472,551288,4075,550711,4075,750960,1988,-33.1829396,-40.11024356,-33.1829396,-40.11024356,-41.74625087,8.563311267,9.726246358,1.636007316,3.939978342,8.563311267,1.636007316,-50.26829545,-41.74625087,44.73612269,36.26086957,44.73612269,36.26086957,47.8115942,5999,3220,5999,3220,6348,1988,-50.28707644,-51.46624191,-50.28676691,-51.46609725,-52.67405154,2.386975094,2.648771123,1.207809622,1.28939643,2.387284623,1.207954284,-63.08298632,-52.67405154,45.47960675,42.90443744,45.47956854,42.90459247,45.38626276,658723,409763,658690,409758,660540,1988,39.79514409,25.58779483,9.726246358,2.648771123,24.35417287,20.17433514,8.563311267,2.386975094,11.88281057,3.101014362,3.939978342,1.28939643,15.56288331,4.901860972,1.636007316,1.207809622,24.358007,20.17405104,8.563311267,2.387284623,1988,8.260287198,7.359095574,5.386598074,4.252856184,5837,750960,6348,660540,1988,-49.23407395,-41.74625087,15261,-52.67405154,842526
1989,-6.349378218,-25.88453756,-6.349378218,-25.88453756,-40.73630816,34.38692994,39.50265759,14.8517706,18.25415351,34.38692994,14.8517706,-24.83040666,-40.73630816,0.973726426,0.902702459,0.973726426,0.902702459,0.983955811,7932,259,7932,259,6097,1989,-19.64145688,-34.43306987,-19.63906874,-34.43306987,-40.73630816,21.09485128,27.15642629,6.303238283,4.391946587,21.09723942,6.303238283,-34.35771886,-40.73630816,0.959618183,0.802426778,0.959628594,0.802426778,0.960700246,718791,4042,718179,4042,768337,1989,-31.23857563,-37.35465025,-31.23857563,-37.35465025,-40.73630816,9.497732535,11.30409904,3.381657908,4.774810548,9.497732535,3.381657908,-46.04823458,-40.73630816,41.69948354,34.16889535,41.69948354,34.16889535,48.82402065,6196,3440,6196,3440,6586,1989,-46.84880903,-47.95670052,-46.84866704,-47.95669254,-49.1088167,2.260007665,2.638559747,1.152116173,1.385479466,2.260149659,1.152124154,-60.27904588,-49.1088167,45.7682931,43.25227287,45.76814252,43.25249113,45.53561706,641936,403234,641890,403230,660119,1989,39.50265759,27.15642629,11.30409904,2.638559747,34.38692994,21.09485128,9.497732535,2.260007665,18.25415351,4.391946587,4.774810548,1.385479466,14.8517706,6.303238283,3.381657908,1.152116173,34.38692994,21.09723942,9.497732535,2.260149659,1989,8.401113327,7.366245841,5.364095286,4.214782239,6097,768337,6586,660119,1989,-40.12547888,-40.73630816,18445,-49.1088167,847106
1990,-21.68294575,-26.10561541,-21.67444182,-25.95997092,-40.24389672,18.56095097,32.48576734,14.1382813,17.83378171,18.5694549,14.28392579,-28.7330622,-40.24389672,0.971743638,0.906363383,0.971774209,0.906843853,0.986029109,5677,264,5675,263,6271,1990,-23.35450295,-34.33441624,-23.34854811,-34.33441624,-40.24389672,16.88939377,26.35951745,5.909480478,5.527570818,16.89534862,5.909480478,-32.6032363,-40.24389672,0.959405799,0.809189025,0.959386443,0.809189025,0.96142063,722404,4058,720965,4058,801030,1990,-31.00749632,-36.60144412,-31.00749632,-36.60144412,-40.24389672,9.2364004,11.91971257,3.642452597,5.026274606,9.2364004,3.642452597,-42.06111173,-40.24389672,43.19684362,33.58002774,43.19684362,33.58002774,48.44495143,6970,3605,6970,3605,6794,1990,-44.46131342,-45.45711708,-44.46152166,-45.45712521,-46.5382232,2.076909781,2.689293369,1.081106124,1.376491651,2.076701534,1.081097988,-57.17706423,-46.5382232,45.99347658,43.39488302,45.99324585,43.3952749,45.50522093,643374,406685,643308,406679,676221,1990,32.48576734,26.35951745,11.91971257,2.689293369,18.56095097,16.88939377,9.2364004,2.076909781,17.83378171,5.527570818,5.026274606,1.376491651,14.1382813,5.909480478,3.642452597,1.081106124,18.5694549,16.89534862,9.2364004,2.076701534,1990,7.855125301,7.346945483,5.22696376,4.206733932,6271,801030,6794,676221,1990,-37.95056162,-40.24389672,23216,-46.5382232,872685
1991,-7.701704076,-22.50931667,-7.700611543,-22.50931667,-37.60899591,29.90729183,30.74098156,15.09967923,13.39411626,29.90838436,15.09967923,-27.46299409,-37.60899591,0.974017022,0.902310215,0.974013529,0.902310215,0.983434637,9153,277,9151,277,6533,1991,-17.99575429,-31.35647927,-17.99619384,-31.35647927,-37.60899591,19.61324162,25.44916368,6.252516633,5.457876591,19.61280207,6.252516633,-31.39612659,-37.60899591,0.962980637,0.814361328,0.962980159,0.814361328,0.962257958,800428,3955,799080,3955,809973,1991,-30.19506677,-34.8219708,-30.2039284,-34.8219708,-37.60899591,7.413929131,10.99739679,2.787025106,4.233232219,7.405067502,2.787025106,-39.11684223,-37.60899591,38.58545455,30.59880096,38.57820078,30.59880096,46.70713049,8250,4170,8248,4170,6928,1991,-42.14088062,-43.044016,-42.14096595,-43.04423865,-44.14386011,2.002979501,2.697615389,1.099844122,1.389386037,2.002894166,1.09962147,-53.81325955,-44.14386011,46.3120223,43.7112052,46.31112674,43.71105853,45.46800198,634413,403643,634301,403625,683386,1991,30.74098156,25.44916368,10.99739679,2.697615389,29.90729183,19.61324162,7.413929131,2.002979501,13.39411626,5.457876591,4.233232219,1.389386037,15.09967923,6.252516633,2.787025106,1.099844122,29.90838436,19.61280207,7.405067502,2.002894166,1991,7.473919017,7.331111985,4.989462357,4.173388305,6533,809973,6928,683386,1991,-38.29874777,-37.60899591,22766,-44.14386011,875017
1992,-5.502754527,-21.97306116,-5.498732623,-21.97306116,-36.24575673,30.74300221,28.60885169,14.27269558,12.31278583,30.74702411,14.27269558,-27.29324539,-36.24575673,0.960666136,0.882724119,0.960661792,0.882724119,0.979651446,6753,312,6752,312,7005,1992,-17.63121916,-29.6141185,-17.61495465,-29.61557367,-36.24575673,18.61453757,24.07766936,6.631638228,5.510628011,18.63080209,6.630183058,-30.31537389,-36.24575673,0.953671465,0.813668604,0.953637355,0.81370329,0.961481636,631466,4143,629338,4142,801200,1992,-28.22413789,-33.02001599,-28.22413789,-33.02001599,-36.24575673,8.021618845,10.16982101,3.225740746,3.10278237,8.021618845,3.225740746,-36.06306029,-36.24575673,42.00583959,31.19778282,42.00583959,31.19778282,45.84262701,8391,3969,8391,3969,7263,1992,-39.97229115,-40.85427332,-39.97248056,-40.85428406,-41.9510026,1.978711445,2.585720448,1.096729278,1.386085326,1.978522037,1.096718538,-50.60562176,-41.9510026,46.67424619,44.00035226,46.67352112,44.00056831,45.52400694,610900,388923,610698,388876,679970,1992,28.60885169,24.07766936,10.16982101,2.585720448,30.74300221,18.61453757,8.021618845,1.978711445,12.31278583,5.510628011,3.10278237,1.386085326,14.27269558,6.631638228,3.225740746,1.096729278,30.74702411,18.63080209,8.021618845,1.978522037,1992,7.766364204,7.237419955,4.686025567,4.129426739,7005,801200,7263,679970,1992,-36.01523418,-36.24575673,21594,-41.9510026,863585
1993,-2.02336541,-18.82886808,-2.031154556,-18.82886808,-33.68740416,31.66403875,29.68606127,14.85853607,15.13914616,31.6562496,14.85853607,-22.95408188,-33.68740416,0.954905102,0.88438793,0.954940815,0.88438793,0.976263138,4332,237,4327,237,6918,1993,-14.49820233,-26.98999904,-14.47367256,-26.99677874,-33.68740416,19.18920182,22.87013338,6.697405126,6.253299749,19.2137316,6.690625423,-28.57128936,-33.68740416,0.949273877,0.814389522,0.949164446,0.814400672,0.962872144,512195,3982,509262,3981,788609,1993,-27.77160296,-31.52593517,-27.76925455,-31.52593517,-33.68740416,5.915801203,9.433259509,2.161468997,3.504282148,5.918149604,2.161468997,-33.73866307,-33.68740416,36.48847771,30.61097334,36.47897039,30.61097334,43.03498584,5945,3226,5944,3226,7060,1993,-37.80243447,-38.55581273,-37.80377675,-38.55507729,-39.57594191,1.773507437,2.519405447,1.02012919,1.334783164,1.772165157,1.020864624,-47.62324239,-39.57594191,46.73400573,44.20108545,46.73173432,44.20207392,45.56199131,578629,370723,578188,370602,671941,1993,29.68606127,22.87013338,9.433259509,2.519405447,31.66403875,19.18920182,5.915801203,1.773507437,15.13914616,6.253299749,3.504282148,1.334783164,14.85853607,6.697405126,2.161468997,1.02012919,31.6562496,19.2137316,5.918149604,1.772165157,1993,7.674580037,7.189384245,4.506363176,4.097113885,6918,788609,7060,671941,1993,-31.33977162,-33.68740416,21387,-39.57594191,847107
1994,-5.926466898,-15.82533379,-5.886270038,-15.83855324,-31.44984247,25.52337558,29.62988297,15.62450867,14.04471415,25.56357244,15.61128923,-18.93585866,-31.44984247,0.9696116,0.898235047,0.969578528,0.898262047,0.97312936,9326,306,9306,305,7477,1994,-14.30418376,-25.0844522,-14.41502681,-25.0844522,-31.44984247,17.14565872,21.91329819,6.365390275,6.445231536,17.03481566,6.365390275,-26.41359704,-31.44984247,0.968139053,0.817983798,0.967936852,0.817983798,0.96175117,913718,3884,902954,3884,779851,1994,-22.98104915,-26.48711448,-22.98235107,-26.48711448,-31.44984247,8.468793329,8.420747008,4.962727994,2.901672371,8.467491403,4.962727994,-32.40210021,-31.44984247,43.58067602,34.31458202,43.56324773,34.31458202,40.80099369,6272,3182,6269,3182,7447,1994,-35.35023535,-36.10128857,-35.35028194,-36.09971502,-37.10826761,1.758032256,2.378894695,1.006979034,1.271254562,1.757985664,1.008552582,-44.96791091,-37.10826761,47.32111975,44.77203092,47.31484466,44.7733724,45.97416958,562270,359211,561569,359056,661081,1994,29.62988297,21.91329819,8.420747008,2.378894695,25.52337558,17.14565872,8.468793329,1.758032256,14.04471415,6.445231536,2.901672371,1.271254562,15.62450867,6.365390275,4.962727994,1.006979034,25.56357244,17.03481566,8.467491403,1.757985664,1994,7.648676292,7.232860414,4.409775785,4.080280259,7477,779851,7447,661081,1994,-29.42779972,-31.44984247,21950,-37.10826761,835165
1995,-1.51779436,-10.01563325,-1.444753871,-10.01563325,-31.94440248,30.42660812,27.30174065,21.92876922,13.47246035,30.49964861,21.92876922,-17.42310771,-31.94440248,0.964966173,0.883803784,0.964883477,0.883803784,0.974586271,7742,347,7697,347,7594,1995,-9.373444895,-23.64787083,-9.357556915,-23.6459248,-31.94440248,22.57095758,20.02332192,8.296531652,6.777693944,22.58684556,8.298477679,-25.28709186,-31.94440248,0.968594954,0.829580718,0.968396477,0.829594126,0.960369507,837315,3699,826333,3698,752374,1995,-17.90330637,-23.27757204,-17.89649279,-23.2606005,-31.94440248,14.0410961,8.003812601,8.666830442,3.055655098,14.04790969,8.683801976,-30.70341173,-31.94440248,39.41894977,30.81943629,39.3854613,30.79788484,38.87159121,7008,3406,7002,3404,7554,1995,-33.61540743,-34.35435237,-33.62137976,-34.35375836,-35.23061539,1.615207959,2.23060258,0.876263014,1.148764368,1.609235622,0.876857025,-42.51187959,-35.23061539,47.72782518,45.21288547,47.71466367,45.21824141,46.11288724,550602,351062,549576,350850,637840,1995,27.30174065,20.02332192,8.003812601,2.23060258,30.42660812,22.57095758,14.0410961,1.615207959,13.47246035,6.777693944,3.055655098,1.148764368,21.92876922,8.296531652,8.666830442,0.876263014,30.49964861,22.58684556,14.04790969,1.609235622,1995,7.382460702,7.233703165,4.380727618,4.067073005,7594,752374,7554,637840,1995,-27.37316117,-31.94440248,24408,-35.23061539,806020
1996,-0.431333858,-9.919867919,-0.392071688,-9.9394459,-31.25271737,30.8213835,28.23689976,21.33284944,14.59634399,30.86064568,21.31327147,-13.45397748,-31.25271737,0.957269316,0.888804087,0.957303798,0.889127012,0.969849828,6032,276,6009,275,7804,1996,-8.92829584,-22.21853514,-8.899436197,-22.2336615,-31.25271737,22.32442152,18.58218179,9.034182222,6.788565248,22.35328116,9.019055868,-23.31556131,-31.25271737,0.96962983,0.830361369,0.969171731,0.830410593,0.960393255,826436,3512,804227,3505,703508,1996,-15.59951326,-20.63086189,-15.60985563,-20.63086189,-31.25271737,15.6532041,8.011075071,10.62185547,2.860535108,15.64286174,10.62185547,-28.75504632,-31.25271737,41.7548396,30.84116265,41.73965398,30.84116265,40.21802664,7232,3406,7225,3406,7733,1996,-31.49956378,-32.23043268,-31.49532993,-32.22922613,-33.03048669,1.530922915,2.034266061,0.800054007,1.134348972,1.53515676,0.801260551,-40.17896124,-33.03048669,48.28669966,45.7425259,48.25171131,45.75307312,46.70260698,541490,340877,539499,340534,588689,1996,28.23689976,18.58218179,8.011075071,2.034266061,30.8213835,22.32442152,15.6532041,1.530922915,14.59634399,6.788565248,2.860535108,1.134348972,21.33284944,9.034182222,10.62185547,0.800054007,30.86064568,22.35328116,15.64286174,1.53515676,1996,7.067116637,6.878413192,4.424665334,4.070234152,7804,703508,7733,588689,1996,-23.98426545,-31.25271737,33952,-33.03048669,745454
1997,-2.602491468,-9.268935462,-2.694226786,-9.167799631,-29.74625775,27.14376628,26.36721062,20.47732229,17.58343246,27.05203096,20.57845812,-12.94060947,-29.74625775,0.960126958,0.885526909,0.959791032,0.885768982,0.970459791,8648,313,8432,312,7956,1997,-12.79329775,-21.11511876,-12.94208479,-21.11443711,-29.74625775,16.95296001,18.61726911,8.631138989,7.058397717,16.80417296,8.631820645,-21.19606393,-29.74625775,0.970620328,0.833107,0.969744659,0.833107857,0.963112855,851054,3627,808752,3626,701169,1997,-13.94069099,-19.10620433,-13.97362118,-19.08213728,-29.74625775,15.80556676,9.140434477,10.64005342,4.933510375,15.77263657,10.66412048,-25.84797773,-29.74625775,44.80767369,31.71644514,44.66075334,31.65857479,39.68410283,8262,3837,8230,3831,7819,1997,-29.13413638,-29.91871557,-29.14605096,-29.91773986,-30.83042537,1.696288997,1.987228145,0.91170981,1.052158643,1.684374418,0.912685516,-37.93190963,-30.83042537,48.90481786,46.29233634,48.86165639,46.30240522,47.00419989,556533,345879,553383,345457,581444,1997,26.36721062,18.61726911,9.140434477,1.987228145,27.14376628,16.95296001,15.80556676,1.696288997,17.58343246,7.058397717,4.933510375,1.052158643,20.47732229,8.631138989,10.64005342,0.91170981,27.05203096,16.80417296,15.77263657,1.684374418,1997,6.739327079,6.774074455,4.341698065,4.087006665,7956,701169,7819,581444,1997,-18.84547923,-29.74625775,97051,-30.83042537,741224
1998,10.44337474,-2.360866312,10.21579453,-2.374043937,-27.93565945,38.3790342,28.0269983,25.57479314,16.46145759,38.15145399,25.56161552,-9.551154693,-27.93565945,0.963333913,0.877831065,0.962947147,0.877862642,0.966726399,8059,249,7851,248,7726,1998,0.851055125,-17.50132628,-0.011206578,-17.52594038,-27.93565945,28.78671458,18.65571824,10.43433316,7.637251352,27.92445288,10.40971907,-19.43976096,-27.93565945,0.964253434,0.828729245,0.962204019,0.828888947,0.964062782,741010,3597,681932,3592,689547,1998,-11.06131388,-15.48747063,-11.13889052,-15.47190402,-27.93565945,16.87434558,10.85884449,12.44818883,7.045301555,16.79676893,12.46375544,-22.46818111,-27.93565945,40.50284943,30.89022248,40.20145081,30.80404811,40.4198946,6668,3416,6617,3409,7590,1998,-27.29347052,-27.96245127,-27.30612337,-27.95997451,-28.862335,1.568864479,1.841348773,0.899883721,0.988879021,1.556211625,0.902360483,-35.76529694,-28.862335,49.05605836,46.69204931,49.00767926,46.70838246,47.32010625,550248,342360,545756,341821,560214,1998,28.0269983,18.65571824,10.85884449,1.841348773,38.3790342,28.78671458,16.87434558,1.568864479,16.46145759,7.637251352,7.045301555,0.988879021,25.57479314,10.43433316,12.44818883,0.899883721,38.15145399,27.92445288,16.79676893,1.556211625,1998,6.768213786,6.787856977,4.173958494,4.058414228,7726,689547,7590,560214,1998,-18.71189592,-27.93565945,177875,-28.862335,725459
1999,5.025867695,-4.451627773,2.787373124,-4.487324517,-25.52486164,30.55072934,31.97881389,21.07323387,18.00661366,28.31223477,21.03753713,-3.866032973,-25.52486164,0.973918318,0.897698852,0.972377167,0.897901522,0.965480958,6214,226,5527,224,7367,1999,0.035199065,-13.85818315,-1.659328504,-13.88986289,-25.52486164,25.56006071,19.52544771,11.66667849,8.083451892,23.86553314,11.63499876,-16.92070612,-25.52486164,0.969357317,0.833789028,0.965258207,0.834028214,0.964592114,840096,3246,690741,3232,688613,1999,-7.208556599,-11.38791976,-7.254539043,-11.41582784,-25.52486164,18.31630505,12.59125844,14.13694189,8.413559518,18.2703226,14.10903381,-19.53956756,-25.52486164,42.21722278,32.51346092,41.90707587,32.32473048,40.35694406,5934,3083,5865,3061,7186,1999,-24.85548507,-25.50612048,-24.87780825,-25.50625725,-26.45129159,1.595806517,1.673616209,0.945171113,0.887403252,1.573483347,0.945034338,-33.62277314,-26.45129159,49.50393211,47.22046025,49.45558134,47.2480333,47.82792787,565473,348031,557277,347155,548427,1999,31.97881389,19.52544771,12.59125844,1.673616209,30.55072934,25.56006071,18.31630505,1.595806517,18.00661366,8.083451892,8.413559518,0.887403252,21.07323387,11.66667849,14.13694189,0.945171113,28.31223477,23.86553314,18.2703226,1.573483347,1999,6.93825091,6.899077649,4.112873671,4.030371889,7367,688613,7186,548427,1999,-16.07219334,-25.52486164,171031,-26.45129159,721430
