yob1,W_HO_PTA_p_SB,UW_HO_PTA_p_SB,T_W_HO_PTA_p_SB,T_UW_HO_PTA_p_SB,HO_ptap_RegCow_1,W_HO_SD_p_SB,W_BY1_HO_SD_p_SB,UW_HO_SD_p_SB,UW_BY1_HO_SD_p_SB,T_W_HO_SD_p_SB,T_UW_HO_SD_p_SB,W_BY1_HO_PTA_p_SB,HO_ptap_RegCow_4,W_HO_REL_p_SB,UW_HO_REL_p_SB,T_W_HO_REL_p_SB,T_UW_HO_REL_p_SB,W_BY1_HO_REL_p_SB,W_HO_NUM_PTA_SB,UW_HO_NUM_PTA_SB,T_W_HO_NUM_PTA_SB,T_UW_HO_NUM_PTA_SB,W_BY1_HO_NUM_PTA_SB,yob2,W_HO_PTA_p_SC,UW_HO_PTA_p_SC,T_W_HO_PTA_p_SC,T_UW_HO_PTA_p_SC,HO_ptap_RegCow_2,W_HO_SD_p_SC,W_BY1_HO_SD_p_SC,UW_HO_SD_p_SC,UW_BY1_HO_SD_p_SC,T_W_HO_SD_p_SC,T_UW_HO_SD_p_SC,W_BY1_HO_PTA_p_SC,HO_ptap_RegCow_5,W_HO_REL_p_SC,UW_HO_REL_p_SC,T_W_HO_REL_p_SC,T_UW_HO_REL_p_SC,W_BY1_HO_REL_p_SC,W_HO_NUM_PTA_SC,UW_HO_NUM_PTA_SC,T_W_HO_NUM_PTA_SC,T_UW_HO_NUM_PTA_SC,W_BY1_HO_NUM_PTA_SC,yob3,W_HO_PTA_p_DB,UW_HO_PTA_p_DB,T_W_HO_PTA_p_DB,T_UW_HO_PTA_p_DB,HO_ptap_RegCow_3,W_HO_SD_p_DB,W_BY1_HO_SD_p_DB,UW_HO_SD_p_DB,UW_BY1_HO_SD_p_DB,T_W_HO_SD_p_DB,T_UW_HO_SD_p_DB,W_BY1_HO_PTA_p_DB,HO_ptap_RegCow_6,W_HO_REL_p_DB,UW_HO_REL_p_DB,T_W_HO_REL_p_DB,T_UW_HO_REL_p_DB,W_BY1_HO_REL_p_DB,W_HO_NUM_PTA_DB,UW_HO_NUM_PTA_DB,T_W_HO_NUM_PTA_DB,T_UW_HO_NUM_PTA_DB,W_BY1_HO_NUM_PTA_DB,yob4,W_HO_PTA_p_DC,UW_HO_PTA_p_DC,T_W_HO_PTA_p_DC,T_UW_HO_PTA_p_DC,HO_ptap_AllCow_1,W_HO_SD_p_DC,W_BY1_HO_SD_p_DC,UW_HO_SD_p_DC,UW_BY1_HO_SD_p_DC,T_W_HO_SD_p_DC,T_UW_HO_SD_p_DC,W_BY1_HO_PTA_p_DC,HO_ptap_AllCow_2,W_HO_REL_p_DC,UW_HO_REL_p_DC,T_W_HO_REL_p_DC,T_UW_HO_REL_p_DC,W_BY1_HO_REL_p_DC,W_HO_NUM_PTA_DC,UW_HO_NUM_PTA_DC,T_W_HO_NUM_PTA_DC,T_UW_HO_NUM_PTA_DC,W_BY1_HO_NUM_PTA_DC,yob5,W_BY1_HO_SD_p_SB_1,W_BY1_HO_SD_p_SC_1,W_BY1_HO_SD_p_DB_1,W_BY1_HO_SD_p_DC_1,W_HO_SD_p_SB_1,W_HO_SD_p_SC_1,W_HO_SD_p_DB_1,W_HO_SD_p_DC_1,UW_BY1_HO_SD_p_SB_1,UW_BY1_HO_SD_p_SC_1,UW_BY1_HO_SD_p_DB_1,UW_BY1_HO_SD_p_DC_1,UW_HO_SD_p_SB_1,UW_HO_SD_p_SC_1,UW_HO_SD_p_DB_1,UW_HO_SD_p_DC_1,T_W_HO_SD_p_SB_1,T_W_HO_SD_p_SC_1,T_W_HO_SD_p_DB_1,T_W_HO_SD_p_DC_1,yob6,GenInt_SB,GenInt_SC,GenInt_DB,GenInt_DC,nGI_SB,nGI_SC,nGI_DB,nGI_DC,yob7,UW_BY1_HO_PTA_p_SB,HO_ptap_RegCow_7,HO_nump_RegCow,HO_ptap_AllCow_3,HO_nump_AllCow
1975,-43.16240486,-65.47193505,-43.16240486,-65.47193505,-68.89313505,25.73073019,#N/A,3.42120001,#N/A,25.73073019,3.42120001,#N/A,-68.89313505,0.981390915,0.877613377,0.981390915,0.877613377,#N/A,2825,176,2825,176,#N/A,1975,-56.31642051,-71.45979781,-56.31484502,-71.45979781,-68.89313505,12.57671454,3.254093315,-2.566662752,#N/A,12.57829004,-2.566662752,-64.84053265,-68.89313505,0.950046077,0.713550718,0.950068453,0.713550718,0.818174935,524382,2650,524038,2650,137,1975,-65.4474095,-68.07203494,-65.4474095,-68.07203494,-68.89313505,3.445725557,#N/A,0.82110011,#N/A,3.445725557,0.82110011,#N/A,-68.89313505,64.0472596,58.67407407,64.0472596,58.67407407,#N/A,3047,2160,3047,2160,#N/A,1975,-76.43929565,-77.25790075,-76.43923372,-77.25797093,-77.88612265,1.446827008,0.515027199,0.628221908,-0.008574337,1.446888927,0.628151722,-69.69200117,-77.88612265,40.2911811,36.69118195,40.29182197,36.69148357,36.53713528,444840,238953,444826,238950,754,1975,#N/A,3.254093315,#N/A,0.515027199,25.73073019,12.57671454,3.445725557,1.446827008,#N/A,#N/A,#N/A,-0.008574337,3.42120001,-2.566662752,0.82110011,0.628221908,25.73073019,12.57829004,3.445725557,1.446888927,1975,#N/A,-0.429942495,#N/A,-3.937505106,#N/A,137,#N/A,754,1975,#N/A,-68.89313505,1629,-77.88612265,456398
1976,-47.9943194,-63.29869649,-47.9943194,-63.29869649,-67.88916357,19.89484416,#N/A,4.590467074,#N/A,19.89484416,4.590467074,#N/A,-67.88916357,0.980216859,0.879004994,0.980216859,0.879004994,#N/A,2948,191,2948,191,#N/A,1976,-52.09218639,-69.83386615,-52.09008805,-69.83386615,-67.88916357,15.79697718,-1.71437733,-1.944702581,#N/A,15.79907552,-1.944702581,-70.36236913,-67.88916357,0.959561388,0.729264379,0.959592511,0.729264379,0.730979547,762753,3046,762408,3046,939,1976,-63.64900392,-66.50256149,-63.64900392,-66.50256149,-67.88916357,4.240159647,#N/A,1.386602076,#N/A,4.240159647,1.386602076,#N/A,-67.88916357,63.31095176,58.60386029,63.31095176,58.60386029,#N/A,3068,2176,3068,2176,#N/A,1976,-74.67401252,-75.54776993,-74.67405304,-75.54776491,-76.21962098,1.545608458,0.465604048,0.671851045,-0.336961008,1.545567935,0.671856063,-72.39955518,-76.21962098,41.60377355,37.98364237,41.60412564,37.98393305,36.83039058,482888,261346,482883,261344,1869,1976,#N/A,-1.71437733,#N/A,0.465604048,19.89484416,15.79697718,4.240159647,1.545608458,#N/A,#N/A,#N/A,-0.336961008,4.590467074,-1.944702581,1.386602076,0.671851045,19.89484416,15.79907552,4.240159647,1.545567935,1976,#N/A,1.358457998,#N/A,-1.351099334,#N/A,939,#N/A,1869,1976,#N/A,-67.88916357,2109,-76.21962098,493963
1977,-46.28495713,-60.77613373,-46.28495713,-60.77613373,-65.95630094,19.67134381,#N/A,5.180167198,#N/A,19.67134381,5.180167198,#N/A,-65.95630094,0.980620431,0.891329235,0.980620431,0.891329235,#N/A,2594,173,2594,173,#N/A,1977,-53.42490444,-67.51436739,-53.42235031,-67.51436739,-65.95630094,12.5313965,-0.308575881,-1.558066451,-5.060511774,12.53395063,-1.558066451,-69.15012761,-65.95630094,0.952930029,0.737365906,0.952969974,0.737365906,0.78631708,617172,3231,616693,3231,31849,1977,-61.72606937,-64.56594454,-61.72606937,-64.56594454,-65.95630094,4.230231573,-1.430458137,1.390356391,-4.056336993,4.230231573,1.390356391,-70.31761717,-65.95630094,63.39619274,58.33022637,63.39619274,58.33022637,58.3452381,3362,2253,3362,2253,168,1977,-72.59234159,-73.49110205,-72.59237296,-73.4910671,-74.18042704,1.588085441,0.316529639,0.689324981,-1.164379719,1.588054076,0.689359925,-77.33203793,-74.18042704,43.19683275,39.48238094,43.19673767,39.48236511,39.46959997,523988,285316,523982,285315,61546,1977,#N/A,-0.308575881,-1.430458137,0.316529639,19.67134381,12.5313965,4.230231573,1.588085441,#N/A,-5.060511774,-4.056336993,-1.164379719,5.180167198,-1.558066451,1.390356391,0.689324981,19.67134381,12.53395063,4.230231573,1.588054076,1977,#N/A,2.215714558,2.266321176,2.129637675,#N/A,31849,168,61546,1977,#N/A,-65.95630094,2422,-74.18042704,533358
1978,-38.35675524,-63.09395507,-38.35675524,-63.09395507,-65.29367487,26.93691962,#N/A,2.199719795,#N/A,26.93691962,2.199719795,#N/A,-65.29367487,0.980479552,0.887376813,0.980479552,0.887376813,#N/A,3981,122,3981,122,#N/A,1978,-48.8223902,-65.7633313,-48.81434487,-65.76347716,-65.29367487,16.47128467,-1.033397789,-0.469656438,-4.595091107,16.47933,-0.469802294,-69.36658954,-65.29367487,0.946398065,0.74367744,0.946441409,0.743694993,0.790150147,492968,3059,492394,3058,71684,1978,-60.39674552,-63.15300519,-60.39674552,-63.15300519,-65.29367487,4.89692935,0.115399084,2.140669679,-1.597419499,4.89692935,2.140669679,-68.4620857,-65.29367487,61.37516383,56.27338476,61.37516383,56.27338476,59.55375254,3052,2074,3052,2074,493,1978,-70.41560811,-71.36707771,-70.41548579,-71.36707771,-72.13649241,1.720884303,0.493799666,0.769414698,-0.741492989,1.721006623,0.769414698,-76.5576181,-72.13649241,44.33629064,40.74269307,44.33626532,40.74269307,39.65379158,538891,298826,538884,298826,159973,1978,#N/A,-1.033397789,0.115399084,0.493799666,26.93691962,16.47128467,4.89692935,1.720884303,#N/A,-4.595091107,-1.597419499,-0.741492989,2.199719795,-0.469656438,2.140669679,0.769414698,26.93691962,16.47933,4.89692935,1.721006623,1978,#N/A,2.536347085,2.813810875,2.621380072,#N/A,71684,493,159973,1978,#N/A,-65.29367487,2611,-72.13649241,563020
1979,-38.32839292,-58.97902379,-38.32839292,-58.97902379,-63.78215432,25.4537614,-3.213068856,4.803130529,#N/A,25.4537614,4.803130529,-70.78748986,-63.78215432,0.985024818,0.904171931,0.985024818,0.904171931,0.857238577,5588,151,5588,151,134,1979,-46.21682812,-63.27468489,-46.20758893,-63.27468489,-63.78215432,17.5653262,-0.870607639,0.507469428,-3.333432687,17.57456539,0.507469428,-68.11502593,-63.78215432,0.959001816,0.758723491,0.959073365,0.758723491,0.801289642,712945,3283,712298,3283,100234,1979,-58.88626251,-61.96673888,-58.88626251,-61.96673888,-63.78215432,4.895891813,1.228038148,1.815415441,-0.364627163,4.895891813,1.815415441,-66.71666375,-63.78215432,56.54789272,52.83230089,56.54789272,52.83230089,60.72873346,3393,2260,3393,2260,1058,1979,-68.27879413,-69.24290757,-68.27876643,-69.24292545,-70.13678968,1.857995552,0.691427907,0.893882111,-0.240114069,1.858023258,0.893864231,-75.35965794,-70.13678968,45.43402289,41.98467376,45.43401392,41.98468305,40.21726098,572062,321018,572060,321017,268884,1979,-3.213068856,-0.870607639,1.228038148,0.691427907,25.4537614,17.5653262,4.895891813,1.857995552,#N/A,-3.333432687,-0.364627163,-0.240114069,4.803130529,0.507469428,1.815415441,0.893882111,25.4537614,17.57456539,4.895891813,1.858023258,1979,3.00693657,2.771164974,3.311738471,3.030908662,134,100234,1058,268884,1979,#N/A,-63.78215432,3145,-70.13678968,624359
1980,-35.46557567,-55.55203106,-35.46557567,-55.55203106,-62.65394302,27.18836735,-1.585282515,7.101911963,#N/A,27.18836735,7.101911963,-68.42654129,-62.65394302,0.98189508,0.920746869,0.98189508,0.920746869,0.860341622,3783,174,3783,174,117,1980,-45.63755579,-61.25325884,-45.63500978,-61.25325884,-62.65394302,17.01638723,-0.26256548,1.400684185,-2.453794476,17.01893325,1.400684185,-66.52375912,-62.65394302,0.960921037,0.772699058,0.960939908,0.772699058,0.812925995,739128,3249,738843,3249,116238,1980,-57.77704079,-60.96736943,-57.77704079,-60.96736943,-62.65394302,4.876902238,2.763076749,1.686573594,1.031029052,4.876902238,1.686573594,-64.63904369,-62.65394302,57.7197084,51.81548117,57.7197084,51.81548117,62.82818792,3978,2390,3978,2390,1490,1980,-66.37463975,-67.39955851,-66.37463527,-67.39959603,-68.30112092,1.926481163,0.853240312,0.901562405,0.118842239,1.926485652,0.901524889,-73.96012089,-68.30112092,46.23035025,42.74184226,46.23028835,42.74185309,41.06105283,607705,345684,607699,345683,369860,1980,-1.585282515,-0.26256548,2.763076749,0.853240312,27.18836735,17.01638723,4.876902238,1.926481163,#N/A,-2.453794476,1.031029052,0.118842239,7.101911963,1.400684185,1.686573594,0.901562405,27.18836735,17.01893325,4.876902238,1.926485652,1980,3.37305557,2.974309348,3.860558871,3.378656808,117,116238,1490,369860,1980,#N/A,-62.65394302,4318,-68.30112092,690506
1981,-29.67935693,-48.81919741,-29.67935693,-48.81919741,-59.69486208,30.01550514,3.017599172,10.87566467,#N/A,30.01550514,10.87566467,-64.0971378,-59.69486208,0.987333904,0.92180208,0.987333904,0.92180208,0.92919976,7476,172,7476,172,200,1981,-36.37309233,-58.40916149,-36.37032283,-58.40916149,-59.69486208,23.32176974,1.636126412,1.285700591,-0.704089899,23.32453924,1.285700591,-64.06084921,-59.69486208,0.966328713,0.777291826,0.966340009,0.777291826,0.848300829,846894,3150,846505,3150,146493,1981,-52.54078991,-57.48343181,-52.54078991,-57.48343181,-59.69486208,7.154072168,3.600887812,2.211430257,1.662903126,7.154072168,2.211430257,-63.08072311,-59.69486208,59.81272284,50.89095287,59.81272284,50.89095287,64.38108108,5329,2907,5329,2907,1850,1981,-64.19118518,-65.32945126,-64.19117692,-65.329464,-66.35665395,2.165468759,1.12417264,1.027202687,0.367532309,2.165477022,1.027189942,-72.27085416,-66.35665395,47.07580932,43.58997179,47.07575413,43.59006313,42.35334965,624633,358768,624626,358765,454346,1981,3.017599172,1.636126412,3.600887812,1.12417264,30.01550514,23.32176974,7.154072168,2.165468759,#N/A,-0.704089899,1.662903126,0.367532309,10.87566467,1.285700591,2.211430257,1.027202687,30.01550514,23.32453924,7.154072168,2.165477022,1981,4.793086927,3.559783728,4.310019424,3.657165638,200,146493,1850,454346,1981,#N/A,-59.69486208,5944,-66.35665395,738224
1982,-32.70610742,-46.88163898,-32.70610742,-46.88163898,-57.68483463,24.97872721,13.2951021,10.80319565,#N/A,24.97872721,10.80319565,-54.23114022,-57.68483463,0.966687631,0.910229625,0.966687631,0.910229625,0.96768646,3460,174,3460,174,549,1982,-36.75064341,-56.36887453,-36.74039247,-56.36887453,-57.68483463,20.93419122,6.472325575,1.315960096,-0.094138756,20.94444216,1.315960096,-59.60463708,-57.68483463,0.965676111,0.785340672,0.96571739,0.785340672,0.90420503,837707,3168,837170,3168,242005,1982,-50.81738251,-55.52327745,-50.81738251,-55.52327745,-57.68483463,6.867452119,4.980351342,2.161557176,3.241597068,6.867452119,2.161557176,-61.07227911,-57.68483463,56.46531101,47.94998387,56.46531101,47.94998387,66.83398864,5852,3099,5852,3099,2289,1982,-62.52471361,-63.71359811,-62.52467646,-63.71359811,-64.82787052,2.303156918,1.360953326,1.114272407,0.651533421,2.303194072,1.114272407,-70.54279268,-64.82787052,47.67504767,44.26397124,47.67476382,44.26397124,43.68616461,625701,362441,625693,362441,517405,1982,13.2951021,6.472325575,4.980351342,1.360953326,24.97872721,20.93419122,6.867452119,2.303156918,#N/A,-0.094138756,3.241597068,0.651533421,10.80319565,1.315960096,2.161557176,1.114272407,24.97872721,20.94444216,6.867452119,2.303194072,1982,5.976723281,4.87066799,4.760351041,3.891221546,549,242005,2289,517405,1982,#N/A,-57.68483463,7623,-64.82787052,764573
1983,-28.05573801,-48.5877474,-28.05573801,-48.5877474,-57.12661197,29.07087396,20.16806114,8.538864576,3.772897615,29.07087396,8.538864576,-47.52797552,-57.12661197,0.986612947,0.920440916,0.986612947,0.920440916,0.982246789,7042,136,7042,136,1344,1983,-35.14470141,-54.96449599,-35.14181089,-54.96449599,-57.12661197,21.98191057,10.42354796,2.16211598,0.376092307,21.98480109,2.16211598,-55.60115271,-57.12661197,0.960344433,0.785331134,0.960356255,0.785331134,0.934793693,637208,3063,636891,3063,375061,1983,-50.23019183,-55.02865577,-50.23019183,-55.02865577,-57.12661197,6.896420148,6.738134419,2.097956207,4.167510187,6.896420148,2.097956207,-58.24017386,-57.12661197,51.24845419,43.41483871,51.24845419,43.41483871,68.58243513,5337,3100,5337,3100,2505,1983,-60.69923187,-61.85785587,-60.69932837,-61.85785587,-63.00979926,2.310567377,1.558129353,1.15194339,0.746011183,2.310470878,1.15194339,-68.70722398,-63.00979926,48.08109523,44.80358663,48.0808847,44.80358663,44.7538583,634168,369929,634162,369929,565987,1983,20.16806114,10.42354796,6.738134419,1.558129353,29.07087396,21.98191057,6.896420148,2.310567377,3.772897615,0.376092307,4.167510187,0.746011183,8.538864576,2.16211598,2.097956207,1.15194339,29.07087396,21.98480109,6.896420148,2.310470878,1983,7.012104397,5.904910537,5.043458873,4.028001054,1344,375061,2505,565987,1983,-61.09241235,-57.12661197,8714,-63.00979926,779237
1984,-27.24880225,-45.66914483,-27.24880225,-45.66914483,-56.41742559,29.16862334,18.18975184,10.74828076,4.864608849,29.16862334,10.74828076,-48.85435452,-56.41742559,0.973864333,0.90465814,0.973864333,0.90465814,0.979429368,2673,161,2673,161,1385,1984,-36.3889039,-54.12480766,-36.3880761,-54.12480766,-56.41742559,20.02852169,11.78922738,2.292617935,1.420986719,20.02934949,2.292617935,-53.61363534,-56.41742559,0.958148737,0.788597326,0.958162431,0.788597326,0.949065713,607049,3116,606751,3116,480920,1984,-50.8661401,-54.44008128,-50.8661401,-54.44008128,-56.41742559,5.551285482,7.621650582,1.977344313,4.666435932,5.551285482,1.977344313,-56.07472426,-56.41742559,47.76888803,41.62049587,47.76888803,41.62049587,69.19575387,5162,3025,5162,3025,2779,1984,-59.18653272,-60.25701346,-59.186496,-60.25691973,-61.33633103,2.149798318,1.77095276,1.079317576,0.85213649,2.149835032,1.079411302,-66.88270096,-61.33633103,48.36321578,45.22039754,48.36313029,45.22064243,45.92281104,625317,369319,625310,369317,584112,1984,18.18975184,11.78922738,7.621650582,1.77095276,29.16862334,20.02852169,5.551285482,2.149798318,4.864608849,1.420986719,4.666435932,0.85213649,10.74828076,2.292617935,1.977344313,1.079317576,29.16862334,20.02934949,5.551285482,2.149835032,1984,7.576522682,6.594060756,5.239215895,4.153793656,1385,480920,2779,584112,1984,-58.70385527,-56.41742559,10677,-61.33633103,765599
1985,-16.85071192,-41.85782222,-16.85071192,-41.85782222,-54.59564145,37.74492953,19.3978073,12.73781924,6.669214617,37.74492953,12.73781924,-46.66164648,-54.59564145,0.985557962,0.918128396,0.985557962,0.918128396,0.983260009,7139,171,7139,171,1733,1985,-32.17299254,-51.33938302,-32.16783404,-51.33938302,-54.59564145,22.42264892,13.19886557,3.256258432,0.913404448,22.42780741,3.256258432,-51.53438424,-54.59564145,0.961771,0.793473966,0.961809442,0.793473966,0.954952603,698430,3218,697712,3218,572055,1985,-47.25369001,-51.53619711,-47.25369001,-51.53619711,-54.59564145,7.341951443,8.62296933,3.059444336,5.448252786,7.341951443,3.059444336,-53.57216368,-54.59564145,47.45393804,41.10244594,47.45393804,41.10244594,71.08472906,4939,2821,4939,2821,3045,1985,-57.06200667,-58.08874658,-57.06207261,-58.08873957,-59.16816451,2.106157846,1.982945028,1.079417933,0.993022828,2.106091912,1.079424948,-64.98232802,-59.16816451,48.57530169,45.56009091,48.57509033,45.56005172,46.86001557,634335,379708,634316,379706,611318,1985,19.3978073,13.19886557,8.62296933,1.982945028,37.74492953,22.42264892,7.341951443,2.106157846,6.669214617,0.913404448,5.448252786,0.993022828,12.73781924,3.256258432,3.059444336,1.079417933,37.74492953,22.42780741,7.341951443,2.106091912,1985,7.801839953,7.068774903,5.316023283,4.212772538,1733,572055,3045,611318,1985,-56.14465558,-54.59564145,12404,-59.16816451,784506
1986,-22.89382752,-36.10072607,-22.89421254,-36.10072607,-49.88331701,26.9894895,24.91998458,13.78259094,5.657589458,26.98910447,13.78259094,-40.1384561,-49.88331701,0.976239001,0.900411276,0.976237623,0.900411276,0.98357736,9982,243,9981,243,4517,1986,-29.31554556,-45.95939562,-29.32224618,-45.95476209,-49.88331701,20.56777145,14.82964464,3.923921393,1.440088365,20.56107083,3.928554925,-48.87444407,-49.88331701,0.966963655,0.799409756,0.966958692,0.799459833,0.959017118,911549,3983,910364,3982,635634,1986,-40.13653476,-47.03503502,-40.13653476,-47.03503502,-49.88331701,9.746782251,2.6999697,2.848281992,-1.057707443,9.746782251,2.848281992,-58.12988473,-49.88331701,55.54608523,43.17325409,55.54608523,43.17325409,47.7574026,7063,3365,7063,3365,5775,1986,-54.77444052,-55.94227924,-54.77447993,-55.94224486,-57.00379765,2.229357129,2.095315272,1.061518407,1.049887496,2.229317721,1.061552789,-63.1796666,-57.00379765,48.92378442,45.86417999,48.92372605,45.86441698,47.66131348,640289,387049,640271,387047,623429,1986,24.91998458,14.82964464,2.6999697,2.095315272,26.9894895,20.56777145,9.746782251,2.229357129,5.657589458,1.440088365,-1.057707443,1.049887496,13.78259094,3.923921393,2.848281992,1.061518407,26.98910447,20.56107083,9.746782251,2.229317721,1986,7.97950582,7.192517982,5.403794946,4.260143557,4517,635634,5775,623429,1986,-56.19505472,-49.88331701,13098,-57.00379765,791825
